Badanie;Placówka;Cena
IMMUNOGLOBULINA IG A W SUROWICY (L85);Kęty, ul. Henryka Sienkiewicza 13;40.0
P/C PRZECIW FRANCISELLA TULARENSIS IGG I IGM (U02);Bielsko-Biała, ul. Kustronia 13;401.0
PIGUŁKI GWAŁTU – PŁYNNE EKSTAZY;Wrocław, ul. Św. Wincentego 35;321.0
CYPRYS(T222) - IGE SWOISTE (L91);Lublin, ul. Krańcowa 107 lok 8;63.0
KORTYZOL W MOCZU (M31);Gorzów Wielkopolski, ul. Sienkiewicza 10/11;61.0
WAPŃ W MOCZU (O77);Nowogard, ul. 3 Maja 46;21.0
KURCZAK (F83) - IGE SWOISTE (L91);Białogard, ul. Lindego 26/1;61.0
P/C ANTYFOSFOLIPIDOWE KLASY IGM I IGG (N89);Rabka-Zdrój, ul. Kościuszki 1D;161.0
17-OH PROGESTERON (L79);Wodzisław Śląski, ul. 26 Marca 53a;58.0
CZAS PROTROMBINOWY (PT), INR/ (G21);Łódź, ul. Pasjonistów 15;23.0
WAPŃ CAŁKOWITY W SUROWICY (O77);Słupsk, ul. Wojska Poskiego 53;14.0
DIAMINOOKSYDAZA DAO (SUROWICA);Gdańsk, ul. Grunwaldzka 60;294.0
P/C PRZECIW WIRUSOWI SARS COV-2 W KLASIE IGG (V98);Łódź, ul. Paderewskiego 6;146.0
PANEL REKOMBINANTÓW PYŁKÓW - 10 ALERGENÓW MET. POLYCHECK (L91);Szczecin, ul. Staromłyńska 21/26;165.0
DĄB (T7) - IGE SWOISTE (L91);Janki, al. Krakowska 38;61.0
ROZDZIAŁ ELEKTROF. BIAŁEK W SUR. (PROTEINOGRAM) (I79);Ostrów Mazowiecka, ul. Lubiejewska 10/3;55.0
MONITOROWANIE TERAPII LEKAMI: PSYCHOSTYMULANTY LC-MS/MS;Gryfice, ul. Pocztowa 6;400.0
CHLAMYDIA TRACHOMATIS - P/C IGM (S75);Rzeszów, ul. Litewska 29;106.0
TYREOGLOBULINA (O65);Garwolin, ul. Targowa 6 lok 8;75.0
PAROKSETYNA;Koluszki, ul. Sikorskiego 12;210.0
NGAL D 4 LIZOZYM (K-208 ) IGE SWOISTE (L91);Bydgoszcz, ul. Grzymały-Siedleckiego 30;61.0
P/C PRZECIW RECEPTOROWI NMDA;Warszawa, ul. Św. Bonifacego 70;155.0
ALFA - 1 - ANTYTRYPSYNA W KALE (I65);Piastów, ul. Warszawska 43;76.0
RASP F 1 ASPERGILLUS FUMIGATUS (M-218) IGE SWOISTE (L91);Skarżysko-Kamienna, ul. Klonowa 11;51.0
WSKAŹNIK KWAS MLEKOWY/KWAS PIROGRONOWY;Piastów, ul. Warszawska 43;240.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - CANDIDA MET. ELISPOT;Warszawa, ul. Przeworska 7 lok. U5;636.0
LIPA(T208) - IGE SWOISTE (L91);Żukowo, ul. Gdyńska 1;62.0
ALFA-1-KWAŚNA GLIKOPTOTEINA (OROZOMUKOID) (N26);Połaniec, ul. Ruszczańska 1;66.0
ZONULINA W KALE;Katowice, ul. Tadeusza Kościuszki 92 B;399.0
ĆMA (I8) - IGE SWOISTE (L91);Radomsko, ul. Reymonta 46;69.0
BIAŁKO WIĄŻĄCE RETINOL (I85);Gdynia, ul. Filipkowskiego 20A/U3;69.0
P/C ANTYTYREOGLOBULINOWE (ATG) (O18);Legnica, ul. Wrocławska 27;72.0
KLESZCZOWE ZAPALENIE OPON MÓZGOWYCH - P/C IGG (F84);Olkusz, pl. Konstytucji 3 maja 2E;184.0
KWETIAPINA;Łódź, ul. Mokra 4;210.0
MRÓWKA(I70) - IGE SWOISTE (L91);Police, ul. Piłsudskiego 6/7;61.0
WANILIA (F234) - IGE SWOISTE (L91);Warszawa, ul. Rzeczypospolitej 20;69.0
CHLAMYDIA PNEUMONIAE - P/C IGM (S65);Olsztyn, ul. Kołobrzeska 6;101.0
CYFRA 21-1 (I51);Konin, ul. Kolejowa 11;138.0
CLADOSPORIUM CLADOSPORIDES(M32) - IGE SWOISTE (L91);Legionowo, ul. Jagiellońska 18;61.0
P/C PRZECIW HANTAWIRUSOM IGG;Gdańsk, ul. Hynka 18 lok. U4;257.0
GLIFOSAT – SKŁ. HERBICYDÓW W MOCZU;Kraków, ul. Kobierzyńska 98;517.0
PANEL HORMONY KOBIECE ŚLINA PODSTAWOWY;Lidzbark Warmiński, ul. Ratuszowa 1A;339.0
MANGO (F91) - IGE SWOISTE (L91);Świecie, ul. Jana III Sobieskiego 2;69.0
MUXF3 CCD BROMELAINA (O-214) IGE SWOISTE (L91);Kraków, ul. Trybuny Ludów 25 lok U1;61.0
P/C PRZECIW WIRUSOWI DOBRAWA-BELGRAD (DOBV) IGG;Bolesławiec, ul. Chopina 7;125.0
GRYPA A/B SZYBKI TEST - TEST IMMUNOCHROMATOGRAFICZNY;Tuchola, ul. Chopina 4;109.0
RTRI A 14 PSZENICA ZWYCZAJNA (F-433) IGE SWOISTE (L91);Gorzów Wielkopolski, ul. Dworcowa 4;58.0
KWAS 5-HYDROKSYINDOLOOCTOWY (5-HIAA) W DZM (M39);Warszawa, ul. Rembielińska 8;121.0
KOBALT WE KRWI (M25);Choszczno, ul. Jagiełły 16B/1;161.0
TEST PRENATALNY HARMONY – BADANIE TRISOMIA CHR.: 21, 18 ORAZ 13 (ZESPÓŁ: DOWNA, EDWARDSA, PATAU) METODĄ MIKROMACIERZY;Wrocław, pl. Dominikański 6;2000.0
ANALIZA GENÓW ZWIĄZANYCH Z RODZINNĄ GORĄCZKĄ ŚRÓDZIEMNOMORSKĄ;Łódź, ul. Paderewskiego 6;2900.0
BIAŁKO C-REAKTYWNE CRP-HS (WYSOKIEJ CZUŁOŚCI) (I81);Tarnów, ul. Powstańców Warszawy 40;43.0
BORRELIA BURGDORFERI DNA - BADANIE KLESZCZA;Gorlice, ul. Kościuszki 34A;193.0
ENZYM KONWERTUJĄCY ANGIOTENSYNY (ACE) (K89);Łódź, ul. 1 Maja 42/44;142.0
ORZECH WŁOSKI (F256) - IGE SWOISTE (L91);Warszawa, ul. Głębocka 88 lok 1U;61.0
PANEL WITAMIN MET. HPLC – KWAS FOLIOWY, WIT. B6, WIT. B12;Warszawa, ul. Stawki 4B;462.0
WYKRYWANIE OBECNOŚCI POLIMORFIZMU C.677C>T ORAZ C.1298A>C W GENIE REDUKTAZY METYLENOTETRA-HYDROFOLIANOWEJ  (MTHFR) METODĄ REAL TIME PCR;Wrocław, ul. Bierutowska 63;317.0
GRYPA A - P/C IGM (F76);Łódź, ul. Wysoka 10/14;114.0
RASP F 6 ASPERGILLUS FUMIGATUS (M-222) IGE SWOISTE (L91);Kartuzy, ul. Gdańska 14;61.0
NORTRYPTYLINA (T47);Gliwice, ul. Zwycięstwa 10;146.0
PREALBUMINA (N47);Kraków, ul. Myśliwska 66;106.0
POR (F66) - IGE SWOISTE (L91);Kołobrzeg, ul. Ratuszowa 3;61.0
ALFA-1-MIKROGLOBULINA W MOCZU;Warszawa, ul. Kasprzaka 17;96.0
WYKRYWANIE ANTYGENU SARS-COV-2;Warszawa, al. Komisji Edukacji Narodowej 48;107.0
PROGNOZOWANIE TERAPII ZAKAŻENIA HCV - WYKRYWANIE OBECNOŚCI POLIMORFIZMU RS12979860 GENU INTERLEUKINY 28B (IL28B);Nowy Sącz, ul. Jana Długosza 32a;528.0
P/C PRZECIW ANTY SRP;Pruszcz Gdański, ul. Powstańców Warszawy 15;492.0
MĄKA ŻYTNIA (F5) - IGE SWOISTE (L91);Starogard Gdański, ul. Gimnazjalna 2;62.0
OKOŃ (F60) - IGE SWOISTE (L91);Plewiska, ul. Grunwaldzka 515c/14-15;69.0
NCOR A 9 ORZECH LASKOWY (F-440) IGE SWOISTE (L91);Warszawa, ul. Mołdawska 7;61.0
HALOPERIDOL;Skarżysko-Kamienna, ul. Klonowa 11;177.0
CYTOLOGIA PŁYNNA LBC (NA PODŁOŻU SUREPATH) WRAZ Z OZNACZENIEM BIOMARKERÓW P16/KI67 (CINTEC PLUS);Pułtusk, ul. T. Kwiatkowskiego 19;439.0
ROŚLINY SEZONOWE (RX1) - IGE SWOISTE (L91);Skarżysko-Kamienna, ul. Sokola 18;51.0
POSIEW Z UCHA ZEWNĘTRZNEGO – TLENOWO (91.831);Gdańsk, ul. Hynka 18 lok. U4;58.0
TOXOPLASMA GONDII PRZECIWCIAŁA IGM (X45);Zielona Góra, ul. Wyszyńskiego 32B;63.0
BORELIOZA CD57;Gorzów Wielkopolski, ul. Dworcowa 4;337.0
GENETYCZNY PANEL DIAGNOSTYCZNY - GASTROENTEROLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Siemiatycze, pl. Jana Pawła II 31;3990.0
WYKRYWANIE DNA STREPTOCOCCUS PNEUMONIAE METODĄ REAL TIME - PCR, JAKOŚCIOWO (U73);Stargard, ul. Żołnierza 12;154.0
MOCZNIK W MOCZU (N13);Bydgoszcz, ul. Gdańska 80A;22.0
AZF – BADANIE W KIERUNKU MIKRODELECJI REGIONU GENU AZF CHROMOSOMU Y ANALIZA 6 MARKERÓW STS (NIEPŁODNOŚĆ MĘSKA) METODĄ ANALIZY FRAGMENTÓW;Ostrów Wielkopolski, ul. Wolności 26/1;396.0
MAKRELA KOLIAS (F50) - IGE SWOISTE (L91);Poznań, ul. Stróżyńskiego 11/36;69.0
P/C PRZECIW PLEMNIKOWE;Warszawa, al. Komisji Edukacji Narodowej 26;146.0
PANEL REKOMBINANTÓW ROZTOCZY - 6 ALERGENÓW MET. POLYCHECK;Barlinek, ul. Niepodległości 25;285.0
MAŁŻ JADALNY (F207) - IGE SWOISTE (L91);Rzeszów, ul. Sobieskiego 2d/2;63.0
TETRAZEPAM;Zabrze, ul. Jana III Sobieskiego 51;191.0
NGLY M 5 SOJA, BETA - KONGLICYNINA (F-431) IGE SWOISTE (L91);Kosakowo, ul. Derdowskiego73/7;84.0
MYCOPLASMA PNEUMONIAE - P/C IGG (U41);Mierzyn, ul. Welecka 1a;101.0
WĄGRZYCA (TAENIA SOLIUM)- P/C MET. ELISA;Kraków, ul. Krakowska 39/1;221.0
HOLO-TRANSKOBALAMINA;Pabianice, ul. Kilińskiego 10/12;176.0
REBOKSETYNA;Bełżyce, ul. Lubelska 90;201.0
P/C PRZECIW HISTONOM (AHA) (N85);Kielce, ul. Wapiennikowa 14;107.0
P/C PRZECIW LC-1;Zgorzelec, ul. Wyspiańskiego 53A;326.0
WYKRYWANIE DNA CHLAMYDIA TRACHOMATIS METODĄ REAL TIME-PCR (S79);Kościan, ul. Nacławska 10;151.0
P/C PRZECIW KOM. ZEWNĄTRZWYDZIELNICZYM TRZUSTKI;Nowy Dwór Mazowiecki, ul. Wojska Polskiego 45a/48;133.0
WYKRYWANIE DNA PARWOWIRUSA B19 METODĄ REAL TIME-PCR;Toruń, ul. Grudziądzka 93;207.0
MIESZANKA DRZEW (TX10) - IGE SWOISTE (L91);Bezrzecze, ul. Koralowa 98a;69.0
WYKRYWANIE MUTACJI WIRUSA HBV WARUNKUJĄCYCH POWSTANIE OPORNOŚCI NA ENTEKAWIR;Otwock, ul. Batorego 44;711.0
KAZEINA (F78) - IGE SWOISTE (L91);Wołomin, ul. Mickiewicza 12;61.0
ALFA - 1 ANTYTRYPSYNA GENOTYP;Świecie, ul. Wojska Polskiego 80;266.0
GLUKURONID ETYLU W MOCZU;Warszawa, ul. Przykoszarowa 16;138.0
RPHL P 11 TYMOTKA ŁĄKOWA (G-211) IGE SWOISTE (L91);Otwock, ul. Batorego 44;61.0
ELEKTROFOREZA LIPOPROTEIN;Nysa, ul. Wrocławska 8/u2;159.0
NSE (ENOLAZA SWOISTA DLA NEURONÓW) (K85);Lublewo Gdańskie, ul. Wybickiego 67;103.0
B-HCG GONADOTROPINA KOSMÓWKOWA (L47);Międzyrzecz, ul. Zachodnia 1B;46.0
HBC - P/C PRZECIW HBC IGM (WZW TYPU B) (V33);Łódź, ul. Krokusowa 3;100.0
RPHL P 12 TYMOTKA ŁĄKOWA (G-212 ) IGE SWOISTE (L91);Pruszcz Gdański, ul. Powstańców Warszawy 15;85.0
OVALBUMIN (F232) - IGE SWOISTE (L91);Łódź, ul. Odrzańska 29;61.0
CHLAMYDIA TRACHOMATIS - P/C IGG (S73);Wrocław, ul. Sikorskiego 5A;111.0
PARACETAMOL W SUROWICY (P75);Kielce, ul. Wapiennikowa 14;231.0
BADANIE KAŁU W KIERUNKU PASOŻYTÓW (JEDNO OZNACZENIE) (A21);Krosno, ul. Lniarska 12;25.0
P/C PRZECIW PEMPHIGUS I PEMPHIGOID W KLASIE IGA;Tuchola, ul. Chopina 4;139.0
GENETYCZNY PANEL DIAGNOSTYCZNY - OTOLARYNGOLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Warszawa, ul. Branickiego 10;3990.0
TOXOPLAZMA GONDI - P/C IGA (X39);Chełm, ul. Szymanowskiego 3;223.0
RJUG R 3 ORZECH WŁOSKI (F-442) IGE SWOISTE (L91);Wrocław, ul. Racławicka 2;61.0
TACROLIMUS  MET. LC-MS/MS;Szczecin, ul. Maciejkowa 64/2;242.0
P/C PRZECIW  COXSACKIE  W KLASIE IGG;Poznań, ul. Piątkowska 84B;97.0
GENETYCZNY PANEL DIAGNOSTYCZNY - NIEPŁODNOŚĆ, METODA NGS (BADANIE Z KONSULTACJĄ);Sosnowiec, ul. Jagiellońska 6A;3990.0
EPX EOZYNOFILOWE BIAŁKO X;Gdańsk, ul. Angielska Grobla 35 lok 48;118.0
WYKRYWANIE DNA WIRUSA EBV METODĄ REAL TIME-PCR;Szczecinek, ul. Spółdzielcza 8;177.0
POMIDOR (F25) - IGE SWOISTE (L91);Sokołów Podlaski, ul. Piłsudskiego 10/3U;61.0
PANEL ALERGENÓW POKARMOWYCH - 30 ALERGENÓW METODĄ POLYCHECK;Barcin, ul. Mogileńska 5;247.0
MONITOROWANIE TERAPII LEKAMI: LEKI PRZECIWPADACZKOWE-3, LC-MS/MS;Kielce, ul. 1 Maja 129;413.0
LEGIONELLA PNEUMOPHILA - TEST GENETYCZNY (U18);Szczecin, ul. Kwiatkowskiego 1/4A;445.0
HCV – P/C PRZECIW HCV TEST POTWIERDZENIA METODĄ RECOMLINE (WZW TYPU C) (V53);Warszawa, ul. Racjonalizacji 3 lok. U1;400.0
AMISULPRYD;Płock, ul. Kolegialna 43A;239.0
P/C PRZECIW ENDOMYSIUM I GLIADYNIE W KLASIE IGA (SCREENING);Lublin, ul. Hipoteczna 4;140.0
PROTOPORFIRYNA CYNKOWA (N60);Tczew, ul. Zwycięstwa 13/4;398.0
FOSFOLIPAZA A2 ZWIĄZANA Z LIPOPROTEINĄ;Kraków, os. Na Wzgórzach 1;456.0
OTYŁOŚĆ - POSTAĆ DOMINUJĄCA - ANALIZA GENU MC4R;Dębica, ul. Kolejowa 15a;540.0
FLUOR W MOCZU (P35);Olsztyn, ul. Wojska Polskiego 74;147.0
EBV - WIRUS EPSTEINA BARR ANTYGEN WCZESNY EA P/C IGG (MONONUKLEOZA);Bezrzecze, ul. Koralowa 98a;138.0
POTAS W MOCZU ZE ZBIÓRKI DOBOWEJ (N45);Polkowice, ul. Chełmońskiego 5a;26.0
TAL W MOCZU;Białystok, ul. Al. Tysiąclecia Państwa Polskiego 10;155.0
ZYPRAZYDON;Warszawa, ul. Św. Bonifacego 70;210.0
IBUPROFEN(C78) - IGE SWOISTE (L91);Rybnik, ul. Mościckiego 4;61.0
KOCI PAZUR- P/C IGG (BARTONELLA HENSELAE);Łódź, ul. Rzgowska 170;250.0
CMV WIRUS CYTOMEGALII PRZECIWCIAŁA IGM (F23);Poznań, ul. Dąbrowskiego 89;64.0
ODCZYN PRECYPITACJI W KIERUNKU GRZYBICY PŁUC;Wrocław, ul. Stalowa 50;350.0
BUK (T5) - IGE SWOISTE (L91);Toruń, ul. Orląt Lwowskich 9-11;61.0
P/C PRZECIW KOMPLEKSOM FOSFATYDYLOSERYNA /PROTROMBINA (APS/PT) IGG;Mława, ul. Dobrskiej 8;251.0
JAJKO CAŁE (F245) - IGE SWOISTE (L91);Choszczno, ul. Jagiełły 16B/1;58.0
MIESZANKA ZBÓŻ (FX20) - IGE SWOISTE (L91);Warszawa, ul. Instalatorów 21 lok U1;69.0
P/C PRZECIW SM/RNP (RIBOSOMAL RNP);Warszawa, ul. Kasprzaka 29 l. U110;106.0
P/C PRZECIW KOMÓRKOM SZPICZAKA;Warszawa, ul. Włodarzewska 83 lok u6;179.0
CHYMOPAPAIN (C209) - IGE SWOISTE (L91);Kutno, ul. Sienkiewicza 14;78.0
PRZECIWCIAŁA PRZECIWKO RECEPTOROWI LGI-1;Sieradz, ul. Wincentego Wnuka 10a lok. S8;193.0
IMMUNOGLOBULINA IGG PODKLASA IGG-4 (L93);Poznań, ul. Grunwaldzka 6;186.0
MANGAN WE KRWI (M93);Kielce, ul. Jagiellońska 62C;145.0
DICLOFENAC(C79) - IGE SWOISTE (L91);Kraków, ul. Kapelanka 13b;61.0
WYKRYWANIE OBECNOŚCI WARIANTU PATOGENNEGO C.1601G>A (MUTACJA TYPU LEIDEN) W GENIE F5 ORAZ OBECNOŚCI C.*97G>A(C.20210G>A) W GENIE PROTROMBINY, F2 METODĄ REAL-TIME PCR;Warszawa, al. Komisji Edukacji Narodowej 98;316.0
NORTRYPTYLINA (METABOLIT AMITRYPTYLINY) (T47);Szamotuły, ul. Wroniecka 33;146.0
PANEL ALERGENÓW WZIEWNY-ALERGENY DOMOWE (10 ALERGENÓW);Rybnik, ul. Mościckiego 4;165.0
OWOCE MIX 4 (FX21) - IGE SWOISTE (L91);Biały Bór, ul. C.K. Norwida 5;56.0
P/C PRZECIW MYCOPLASMA PNEUMONIAE IGA - MET WESTERN BLOT;Nowa Sól, ul. Piłsudskiego 55B/3;332.0
P/C PRZECIW JĄDROM NEURONÓW (ANTY-RI);Ostrołęka, ul. Piłsudskiego 11;202.0
FOSFATAZA ALKALICZNA - FRAKCJA KOSTNA (L13);Lubin, ul. Kamienna 51A;64.0
